
Company Name,Address,City,State,Zip,Phone,Email,Website,Description,Representatives,Date Contacted,Contact Method
Colors+ Youth Center,,,,,,,,"AboutColors+ Youth Center is a safe, welcoming space where LGBTQ+ youth and families can enjoy activities, make friends, find support, and build community in a judgement-free environment.Our affirming and enriching programs help participants feel empowered and grow as individuals and within their community. All LGBTQ+ youth and families with youth aged 24 and under are welcome.At Colors+ Youth Center, we strive to strengthen LGBTQ+ youth and families through advocacy, support, education, and cel",,,
"Compass Policy Strategies, LLC",,,,,,,,"AboutCPS is a women-owned independent consultancy based in Cleveland Heights, focused on workforce development, education and economic development strategy planning and implementation, launched in 2015.",,,
Cleveland Public Theatre,,,,,,,,AboutCleveland Public Theatre’s mission is to raise consciousness and nurture compassion through groundbreaking performances and life-changing educational programs.,,,
Creative Solutions Counseling,,,,,,,,,,,
Crowbar,,,,,,,,"AboutWelcome to Vacationland's only full service video bar located in downtown Sandusky, OH.  We offer indoor and patio seating, pool table, daily specials, & dancing for your enjoyment.",,,
Cleveland Votes,,,,,,,,"AboutCleveland VOTES is a year-round, statewide, nonpartisan 501(c)(3) voter mobilization initiative. It galvanizes nonprofits based in low income Ohio communities to increase voter participation and join efforts for fair elections. It builds on the relationships these nonprofits already have with the people they serve.Unlike other groups who show up only during the election season, our network of housing providers, nonprofit health centers, multi-service centers, food pantries, community action",,,
Cuyahoga County Planning Commission,,,,,,,,Aboutcommunity planning,,,
Cake Drama,,,,,,,,"AboutOur Cake Studio is brand new and our site is in its development phase! Please continue to check back for updates and new content.CAKE drama made its debut this Winter 2024 as Owner and Cake Artist Alexandra Ramirez relocated from Portland, Oregon. There, she had been Head Cake Artist at one of the premier bakeries for 10 years and is very excited to bring her talents and passion to Cleveland.",,,
Colors+ Youth Center,,,,,,,,"AboutColors+ Youth Center is a safe, welcoming space where LGBTQ+ youth and families can enjoy activities, make friends, find support, and build community in a judgement-free environment.Our affirming and enriching programs help participants feel empowered and grow as individuals and within their community. All LGBTQ+ youth and families with youth aged 24 and under are welcome.At Colors+ Youth Center, we strive to strengthen LGBTQ+ youth and families through advocacy, support, education, and cel",,,
Cleveland Stonewall Democrats,,,,,,,,"AboutThe Cleveland Stonewall Democrats are devoted to advancing equal rights for all people, regardless of sexual orientation or gender identity. The Cleveland Stonewall Democrats support the Democratic Party and Democratic candidates who support our mission. We draw strength from a regional network of Northeast Ohio individuals composed of LGBTQIA+ and Allied Democrats who are working to achieve the following goals:To educate the LGBTQIA+ community, and people who are supportive of it, about th",,,
Cleveland Pride Band,,,,,,,,"AboutThe Cleveland Pride Band creates an authentic space for LGBTQ+ and allied musicians to promote community, visibility, education and engagement through music performance.",,,
Cilantro Taqueria,,,,,,,,AboutThe best taqueria in NE Ohio! Catering available!,,,
"Compass Policy Strategies, LLC",,,,,,,,"AboutCPS is a women-owned independent consultancy based in Cleveland Heights, focused on workforce development, education and economic development strategy planning and implementation, launched in 2015.",,,
Cleveland Therapy Group,,,,,,,,"AboutOffering a variety of services including individual therapy, couples therapy, and family therapy.",,,
Conservancy for Cuyahoga Valley National Park,,,,,,,,"AboutThe Conservancy’s mission is to enrich lives and our communities by inspiring use, appreciation, and support of Cuyahoga Valley National Park and ensure its preservation.",,,
City of Akron,,,,,,,,,,,
CIVITAS The Ohio River Valley LGBTQ+ Chamber of Commerce,,,,,,,,,,,
Cuyahoga Community College,,,,,,,,"AboutFounded in 1963 as Ohio’s first and largest community college, Tri-C has provided high-quality, affordable education and programs to more than 1 million community members.",,,
COSE Council of Small Enterprises,,,,,,,,"AboutThe Council of Smaller Enterprises is your one-stop-shop for all of your small business needs.With a COSE membership you can unlock the tools necessary to take your business, your skills, your team and the small business community as a whole to the next level.",,,
Clever Girl Marketing,,,,,,,,"AboutClever Girl Marketing is a full-service, ethical agency for mission-driven companies. From brand awareness to retention and advocacy, our services are customized to meet your goals. No generic best practices or canned packages.Individually, we’re experts in our respective fields. As a team, we’re a force for success. We’re experienced, eager, and sincere. And smart. We’re very smart.Our marketing services include:• Strategy• Branding• Website Design & Development• Search Engine Optimization",,,
Camp Lilac,,,,,,,,"AboutOur mission is to provide a safe, welcoming space for transgender and gender diverse youth to be themselves in a positive, supportive, youth-focused environment.",,,
"County of Summit Alcohol, Drug Addiction and Mental Health Services Board",,,,,,,,"AboutThe County of Summit ADM Board ensures no one walks the recovery journey alone. With our partners, we provide person-centered prevention, treatment, and recovery services for all in need.",,,
Claw,,,,,,,,"About501c3 Dedicated to fundraising, education,  volunteerism and all other charitable needs of the Leather and fetish community.",,,
Cuyahoga County Public Library,,,,,,,,"AboutTo empower individuals & communities by providing opportunities for all to read, learn, create & connect. We envision a thriving & inclusive community where all residents benefit from the Library.",,,
Creative Solutions Counseling,,,,,,,,,,,
Cuyahoga County Public Library,,,,,,,,"AboutTo empower individuals & communities by providing opportunities for all to read, learn, create & connect. We envision a thriving & inclusive community where all residents benefit from the Library.",,,
COSE Council of Small Enterprises,,,,,,,,"AboutThe Council of Smaller Enterprises is your one-stop-shop for all of your small business needs.With a COSE membership you can unlock the tools necessary to take your business, your skills, your team and the small business community as a whole to the next level.",,,
Cleveland State University - LGBTQ+ Student Services,,,,,,lgbtq@csuohio.edu,,"AboutLGBTQ+ Student Services is committed to enhancing the overall educational and social experience of the CSU community. We provide resources, support, and programming that promotes the academic and personal growth and development of lesbian, gay, bisexual, transgender, and queer or questioning (+) students and their allies, and work to create a more inclusive and welcoming campus for all.",,,
CANAPI,,,,,,,,"AboutCANAPI's mission is to serve and promote the well-being of the Lesbian, Gay, Bisexual, Transgender, and Questioning (LGBTQ+) community and persons at risk and/or affected by HIV through education, support services, quality housing, and advocacy.CANAPI's vision is to empower an inclusive community through education, awareness, and outreach while eliminating stigma and HIV transmission.",,,
